Вопрос,Ответ,GigaChat,Результат
35,"ПРИСТУПЫ СТЕНОКАРДИИ ВОЗНИКАЮТ ПРИ МЕДЛЕННОЙ ХОДЬБЕ ПО РОВНОМУ МЕСТУ ПРИ ________ СТЕНОКАРДИИ
А II и III классах
Б III и IV классах
В I функциональном классе
Г II функциональном классе",Б III и IV классах,"Стенокардия — это форма ишемической болезни сердца, которая характеризуется болевыми приступами в грудной клетке при физической нагрузке или эмоциональном стрессе. Она классифицируется по функциональным классам (ФК) в зависимости от тяжести симптомов и уровня переносимости физических нагрузок.

I ФК стенокардии — это самый легкий уровень, когда приступы возникают только при интенсивной физической активности, такой как бег или подъем по лестнице.

II ФК стенокардии — это средний уровень, когда приступы возникают при быстрой ходьбе или подъеме по небольшому уклону.

III ФК стенокардии — это более тяжелый уровень, когда приступы возникают при обычной ходьбе по ровному месту или в состоянии покоя.

IV ФК стенокардии — это самый тяжелый уровень, когда приступы возникают даже в состоянии покоя и не связаны с физической активностью.

Таким образом, согласно предложенным вариантам ответа, приступы стенокардии, возникающие при медленной ходьбе по ровному месту, соответствуют II ФК стенокардии. Это средний уровень тяжести, когда физическая активность может вызывать болевые ощущения, но они не настолько сильны, чтобы возникать при обычной ходьбе или в состоянии покоя.",-1
36,"ИРРАДИАЦИЯ БОЛЕВЫХ ОЩУЩЕНИЙ В СПИНУ ХАРАКТЕРНА ДЛЯ
А расслоения аорты
Б стабильной стенокардии
В спонтанного пневмоторакса
Г тромбоэмболии легочной артерии",А расслоения аорты,"Правильный ответ: Г. Иррадиация болевых ощущений в спину характерна для тромбоэмболии лёгочной артерии.

При данной патологии происходит закупорка артерии тромбом (сгустком крови) и нарушается кровообращение в лёгких. Из-за этого возникает резкая боль в грудной клетке, которая может отдавать в шею, спину, верхнюю конечность, челюсть. Кроме того, у пациента появляется одышка, снижается артериальное давление, учащается сердцебиение, появляется кашель, который иногда сопровождается кровянистой мокротой",-1
37,"В ПРОГРАММУ ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ БОЛЬНЫХ ИШЕМИЧЕСКОЙ БОЛЕЗНЬЮ СЕРДЦА II ФУНКЦИОНАЛЬНОГО КЛАССА ВКЛЮЧЕНА
А ходьба в среднем темпе
Б гипоксическая тренировка
В спортивные упражнения
Г тренировка на максимальном значении частоты сердечных сокращений",А ходьба в среднем темпе ,"Правильный ответ: А. Ходьба в среднем темпе.

При ишемической болезни сердца второй функциональный класс (ФК) характеризуется умеренно ограниченным физическим состоянием. Больные могут выполнять свою ежедневную физическую активность без чрезмерного дискомфорта или ограничений. Однако они начинают испытывать боль в груди при физической нагрузке большей интенсивности, чем те, кто относится к первому ФК. Поэтому программа реабилитации должна включать физические упражнения, но они должны быть умеренными и безопасными для пациента.

Ходьба в среднем темпе является подходящим видом активности для пациентов со второй ФК ишемической болезни сердца. Она позволяет постепенно увеличивать физическую нагрузку, улучшает общее состояние организма и способствует укреплению сердечно-сосудистой системы.

Гипоксическая тренировка, спортивные упражнения и тренировки на максимальном значении частоты сердечных сокращений не рекомендуются для пациентов со второй ФК ишемической болезни сердца, так как они могут представлять риск для здоровья и безопасности пациента.",1
38,"ДЛИТЕЛЬНЫЙ ПОКОЙ БОЛЬНОГО С ИНФАРКТОМ МИОКАРДА МОЖЕТ ПРИВЕСТИ К
А артериальной гипертензии
Б тахикардии
В развитию коронарных коллатералей
Г  тромбоэмболическим осложнениям",Г  тромбоэмболическим осложнениям,"Правильный ответ: Г. Длительный покой больного с инфарктом миокарда может привести к тромбоэмболическим осложнениям.

Обоснование: при длительном постельном режиме у пациентов с инфарктом миокарда повышается риск образования тромбов в венах нижних конечностей. Эти тромбы могут отрываться и с током крови попадать в лёгкие (тромбоэмболия лёгочной артерии), вызывая тяжёлые нарушения кровообращения.",1
39,"ТРЕТИЙ ЭТАП КАРДИОРЕАБИЛИТАЦИИ ДЛИТСЯ ДО
А 3-4 дней или до стабилизации состояния пациента
Б 2 лет
В 6-13 недель после острого коронарного события
Г 1-2 месяцев",В 6-13 недель после острого коронарного события,"Правильный ответ — В. Третий этап кардиореабилитации длится 6–13 недель после острого коронарного события. Этот период характеризуется завершением периода восстановления физической активности, формированием стереотипа здорового образа жизни, устранением факторов риска ИБС и подготовкой к активной жизни в социуме.
",1
40,"ТРАНСПОРТНОЙ ФОРМОЙ ЭКЗОГЕННЫХ ТРИГЛИЦЕРИДОВ ЯВЛЯЮТСЯ
А ЛПВП
Б хиломикроны
В ЛПОНП
Г ЛПНП",Б хиломикроны,"Хиломикроны являются транспортной формой экзогенных триглицеридов.

Объяснение: Экзогенные триглицериды поступают в организм с пищей. Они сначала абсорбируются в тонком кишечнике, затем объединяются с белками и образуют хиломикроны, которые являются основной транспортной формой триглицеридов. Хиломикроны переносятся через лимфатическую систему в кровь, где они могут быть метаболизированы или использоваться для энергии.
",0
41,"С ТОЧКИ ЗРЕНИЯ ДОКАЗАТЕЛЬНОЙ МЕДИЦИНЫ НАИБОЛЬШЕЕ ВЛИЯНИЕ НА ПОВЫШЕНИЕ УРОВНЯ ЛИПОПРОТЕИДОВ ВЫСОКОЙ ПЛОТНОСТИ В КРОВИ ОКАЗЫВАЕТ
А снижение потребления моно- и дисахаридов
Б умеренное потребление алкоголя
В прекращение курения табака
Г повышение уровня физической активности",Г повышение уровня физической активности,"Правильный ответ: Г. Повышение уровня физической активности является наиболее эффективным способом повышения уровня липопротеидов высокой плотности (ЛПВП) в крови. Физическая активность способствует улучшению обмена веществ и уменьшению количества триглицеридов в крови, что приводит к увеличению концентрации ЛПВП. Это связано с тем, что ЛПВП являются «хорошим» холестерином, который помогает удалять избыток холестерина из артерий и предотвращает развитие сердечно-сосудистых заболеваний.

Остальные варианты ответов также могут оказывать влияние на уровень холестерина, но их эффект менее выражен. Например, умеренное потребление алкоголя может незначительно повышать уровень ЛПВП, но его положительное воздействие перевешивается негативными последствиями чрезмерного употребления алкоголя. Прекращение курения табака и снижение потребления моно- и дисахаридов также могут способствовать снижению общего уровня холестерина, но они не оказывают прямого влияния на уровень ЛПВП.",1
42,"ДЛЯ I ФЕНОТИПА ДИСЛИПИДЕМИЙ ХАРАКТЕРНО
А повышение содержания хиломикронов и триглицеридов
Б повышение содержания липопротеидов низкой плотности и триглицеридов
В снижение содержания липопротеидов высокой плотности и повышение общего холестерина
Г повышение содержания липопротеидов очень низкой плотности и триглицеридов",А повышение содержания хиломикронов и триглицеридов,"Правильный ответ: Г. Для I фенотипа дислипидемии характерно повышение содержания липопротеидов очень низкой плотности и триглицеридов. Это связано с нарушением обмена жиров в организме, при котором увеличивается образование и снижается расщепление триглицеридов, что приводит к их накоплению в крови.
",-1
43,"ОЧЕНЬ ВЫСОКИМ РИСКОМ ПО ШКАЛЕ SCORE СЧИТАЕТСЯ ЗНАЧЕНИЕ ≥ (В ПРОЦЕНТАХ)
А 5
Б 10
В15
Г 20",Б 10,"Правильный ответ — Г. Согласно шкале риска SCORE, очень высоким риском считается значение ≥20%.",-1
44,"ПРИ АНТИГИПЕРТЕНЗИВНОЙ ТЕРАПИИ УРОВЕНЬ СИСТОЛИЧЕСКОГО АРТЕРИАЛЬНОГО ДАВЛЕНИЯ У БОЛЬНЫХ ИБС МОЛОЖЕ 65 ЛЕТ, СТРАДАЮЩИХ САХАРНЫМ ДИАБЕТОМ, ДОЛЖЕН БЫТЬ МЕНЕЕ ИЛИ РАВЕН (В ММ РТ. СТ.)
А 150
Б 120
В 130
Г 140",В 130,"Правильный ответ: В. Согласно современным рекомендациям, у больных ИБС младше 65 лет с сахарным диабетом целевой уровень систолического артериального давления составляет менее или равен 130 мм рт. ст.
",1
45,"МОНОТЕРАПИЯ АНТИГИПЕРТЕНЗИВНЫМИ ПРЕПАРАТАМИ У БОЛЬНЫХ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ МОЖЕТ БЫТЬ НАЗНАЧЕНА ПАЦИЕНТУ С АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ _____ СТЕПЕНИ _______ СЕРДЕЧНО-СОСУДИСТЫХ ОСЛОЖНЕНИЙ
А I; с высоким риском
Б I; с низким или средним риском
В II; независимо от степени риска
Г II; с высоким риском",Б I; с низким или средним риском ,"Правильный ответ: Б. Монотерапия антигипертензивными препаратами может быть назначена пациенту с артериальной гипертензией I степени с низким или средним риском сердечно-сосудистых осложнений.
",1
46,"К ПРЕПАРАТАМ ПЕРВОГО ВЫБОРА ПРИ ЛЕЧЕНИИ АРТЕРИАЛЬНОЙ ГИПЕРТОНИИ У БОЛЬНЫХ САХАРНЫМ ДИАБЕТОМ ОТНОСЯТ
А антагонисты альдостерона
Б диуретики
В бета-адреноблокаторы
Г ингибиторы ангиотензин-превращающего фермента",Г ингибиторы ангиотензин-превращающего фермента ,"Правильный ответ: Г.
Ингибиторы ангиотензинпревращающего фермента (иАПФ) являются препаратами первого выбора для лечения артериальной гипертонии у больных сахарным диабетом. Они способствуют защите органов-мишеней (почки, сердце), снижают риск развития нефропатии и сердечно-сосудистых осложнений.",1
47,"ПРОТИВОПОКАЗАНИЕМ К НАЗНАЧЕНИЮ ТИАЗИДНЫХ ДИУРЕТИКОВ ЯВЛЯЕТСЯ
А подагра
Б сахарный диабет
В инсульт в анамнезе
Г ишемическая болезнь сердца",А подагра ,"Правильный ответ: А. Подагра.

Тиазидные диуретики повышают уровень мочевой кислоты в сыворотке крови, что может привести к обострению подагры.",1
48,"ПРИ НАЛИЧИИ ВЫРАЖЕННОЙ АОРТАЛЬНОЙ НЕДОСТАТОЧНОСТИ У БЕССИМПТОМНЫХ ПАЦИЕНТОВ С СОХРАННОЙ ФРАКЦИЕЙ ВЫБРОСА ЛЕВОГО ЖЕЛУДОЧКА СОГЛАСНО РЕКОМЕНДАЦИЯМ ЕВРОПЕЙСКОГО ОБЩЕСТВА КАРДИОЛОГОВ 2017 Г. ПОКАЗАНИЕМ ДЛЯ ОПЕРАТИВНОГО ЛЕЧЕНИЯ ЯВЛЯЕТСЯ УВЕЛИЧЕНИЕ
А конечно-систолического размера левого желудочка более 50 мм
Б размеров левого предсердия
В конечно-диастолического размера левого желудочка от 50 до 70 мм
Г размеров правого предсердия",А конечно-систолического размера левого желудочка более 50 мм ,"Правильный ответ: А. При наличии выраженной аортальной недостаточности у бессимптомных пациентов с сохранной фракцией выброса левого желудочка показанием для оперативного лечения является увеличение конечно-систолического размера левого желудочка более 50 мм. Это связано с тем, что увеличение конечного систолического объема может свидетельствовать о развитии сердечной недостаточности и ухудшении функционального состояния миокарда.",1
49,"К АНТАГОНИСТАМ ЭНДОТЕЛИНОВЫХ РЕЦЕПТОРОВ ОТНОСЯТ
А Бозентан
Б Вазапростан
В Пентоксифиллин
Г Силденафил",А Бозентан,"Антагонисты эндотелиновых рецепторов относятся к группе лекарственных средств, которые используются для лечения легочной артериальной гипертензии (ЛАГ). Эти препараты блокируют действие эндотелина, мощного вазоконстриктора, который способствует сужению кровеносных сосудов и повышению кровяного давления.

Вазапростан является простагландином E1 и используется для лечения хронических облитерирующих заболеваний артерий нижних конечностей III-IV стадии. Он расширяет периферические артерии и вены, улучшает микроциркуляцию, оказывает антиагрегантное действие.

Пентоксифиллин относится к группе ангиопротекторов и корректоров микроциркуляции. Он улучшает реологические свойства крови, оказывает сосудорасширяющее действие, улучшает микроциркуляцию.

Силденафил является ингибитором фосфодиэстеразы 5 типа и применяется для лечения эректильной дисфункции. Он усиливает расслабляющий эффект оксида азота на гладкие мышцы кавернозного тела полового члена.

Бозентан является антагонистом эндотелиновых рецепторов и используется для лечения ЛАГ. Он блокирует действие эндотелина, снижает сопротивление дыхательных путей и уменьшает правожелудочковую сердечную недостаточность.

Таким образом, к антагонистам эндотелиновых рецепторов относится бозентан.",0
50,"БАЛЛОННАЯ ВАЛЬВУЛОПЛАСТИКА АОРТАЛЬНОГО КЛАПАНА МОЖЕТ РАССМАТРИВАТЬСЯ У ПАЦИЕНТОВ С
А аневризмой аорты
Б острой аортальной недостаточностью
В умеренным аортальным стенозом
Г тяжелым аортальным стенозом и нестабильной гемодинамикой",Г тяжелым аортальным стенозом и нестабильной гемодинамикой ,"Правильный ответ: Г.

Показанием к баллонной вальвулопластике аортального клапана является тяжёлый аортальный стеноз и нестабильная гемодинамика. При данной процедуре специальный баллон вводят через катетер в область сужения клапана сердца и раздувают его для расширения просвета. Это позволяет улучшить отток крови из сердца и уменьшить симптомы заболевания. Однако следует помнить, что данная процедура имеет свои ограничения и риски, поэтому решение о её проведении должно приниматься врачом после тщательной оценки состояния пациента.",1
51,"ТИП А СИНДРОМА WPW ХАРАКТЕРИЗУЕТСЯ
А доминированием зубца S в отведениях V1,V2, V3 (конфигурация QS или rS)
Б укорочением комплекса QRS во всех грудных отведениях
В доминированием зубца R в отведениях V1,V2, V3 (конфигурация R или Rs)
Г удлинением интервала QT","В доминированием зубца R в отведениях V1,V2, V3 (конфигурация R или Rs) ","Правильный ответ: В.
При синдроме Вольфа — Паркинсона — Уайта (WPW) на ЭКГ регистрируется дельта-волна между зубцами P и QRS. Она свидетельствует о наличии дополнительного пути проведения импульса. При этом отмечаются укорочение интервала PQ и расширение комплекса QRS.
",1
52,"КОЛИЧЕСТВО БАЛЛОВ ПО ШКАЛЕ СНА2DS2-VASC У МУЖЧИНЫ 64 ЛЕТ С ГИПЕРТОНИЧЕСКОЙ БОЛЕЗНЬЮ И САХАРНЫМ ДИАБЕТОМ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ РАВНО
А 2
Б 3
В 1
Г 4",А 2,"Правильный ответ: Г 4.

Согласно шкале SNO2DS2-VASC, баллы начисляются следующим образом:

- Гипертоническая болезнь: +1 балл.
- Сахарный диабет: +1 балл.
- Возраст старше 75 лет: +1 балл.
- Женский пол: -1 балл (в данном случае мужчина, поэтому этот пункт не учитывается).
- Фибрилляция предсердий: +1 балл.

Таким образом, у мужчины 64 лет с гипертонической болезнью и сахарным диабетом при фибрилляции предсердий количество баллов по шкале SNO2DS2-VASC равно 4.",-1
53,"ПРОВЕДЕНИЕ ПО АТРИОВЕНТРИКУЛЯРНОМУ УЗЛУ ОТРАЖАЕТ ИНТЕРВАЛ
А QT
Б PQ
В RR
Г РР",Б PQ ,"Интервал, который отражает проведение импульса по атриовентрикулярному узлу, называется интервалом PQ. Это время, которое требуется электрическому сигналу для перемещения от предсердий сердца к желудочкам через атриовентрикулярный узел. Ответ Б является правильным, так как интервал PQ включает время, необходимое для начальной деполяризации и проведения через атриовентрикулярный узел.
",1
54,"ОПТИМАЛЬНАЯ ЧАСТОТА СЕРДЕЧНЫХ СОКРАЩЕНИЙ У ПАЦИЕНТОВ С ФИБРИЛЛЯЦИЕЙ ПРЕДСЕРДИЙ И ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ ДОЛЖНА НАХОДИТЬСЯ В ПРЕДЕЛАХ ОТ (В УДАРАХ В МИНУТУ)
А 60 до 70
Б 80 до 110
В 60 до 100
Г 80 до 90",В 60 до 100,"Правильный ответ: Г.

Оптимальная частота сердечных сокращений у пациентов с фибрилляцией предсердий и хронической сердечной недостаточностью должна находиться в пределах от 80 до 90 ударов в минуту. Это связано с тем, что при таких заболеваниях сердце работает менее эффективно, поэтому ему требуется больше сокращений для обеспечения нормального кровообращения. Ответы А, Б и В являются неверными, так как они не учитывают особенности состояния пациента.",-1
55,"АБСОЛЮТНЫМ ПОКАЗАНИЕМ К ИМПЛАНТАЦИИ ПОСТОЯННОГО КАРДИОСТИМУЛЯТОРА, У БОЛЬНОГО, ПЕРЕНЕСШЕГО ПЕРЕДНИЙ ИНФАРКТ МИОКАРДА, ЯВЛЯЕТСЯ
А предсердная экстрасистолия и блокада передней ветви ножки пучка Гиса
Б блокада задней ветви левой ножки пучка Гиса
В блокада левой ножки пучка Гиса
Г атриовентрикулярная блокада дистальной локализации II и III степени
",Г атриовентрикулярная блокада дистальной локализации II и III степени ,"Правильный ответ: Г. Абсолютным показанием к имплантации постоянного кардиостимулятора у больного, перенесшего передний инфаркт миокарда, является атриовентрикулярная блокада дистальной локализации II и III степени.

Обоснование: атриовентрикулярная блокада дистальной локализации II и III степени возникает при поражении всех трех пучков проводящей системы сердца (синоатриального, предсердного и желудочкового). Это приводит к нарушению проведения электрического импульса от предсердий к желудочкам, что может привести к брадикардии и гемодинамическим нарушениям. Поэтому имплантация постоянного кардиостимулятора является необходимой процедурой для поддержания нормального сердечного ритма и предотвращения возможных осложнений.
",1
56,"ДЛЯ ПРОФИЛАКТИКИ ТРОМБОЭМБОЛИЧЕСКИХ ОСЛОЖНЕНИЙ ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ ДАБИГАТРАН НАЗНАЧАЕТСЯ В ДОЗИРОВКЕ (В МГ) _____, _____ В СУТКИ
А 5; 2 раза
Б 60-80; 1 раз
В 20; 1 раз 
Г 110-150; 2 раза",Г 110-150; 2 раза ,"Правильный ответ: Б. Дабигатрана этексилат назначают для профилактики тромбоэмболических осложнений при фибрилляции предсердий в дозировке 150 мг один раз в сутки. Это указано в инструкции к препарату.
",-1
57,"ДЛЯ ПРОФИЛАКТИКИ ИНСУЛЬТА ПРИ ФИБРИЛЛЯЦИИ ПРЕДСЕРДИЙ У ПАЦИЕНТОВ С МЕХАНИЧЕСКИМИ ПРОТЕЗАМИ НУЖНО ИСПОЛЬЗОВАТЬ
А апиксабан
Б варфарин
В аспирин
Г дабигатран",Б варфарин,"Правильный ответ: Б. Варфарин.

Пациентам с фибрилляцией предсердий и механическими протезами клапанов сердца для профилактики инсульта рекомендован прием варфарина. Дозировку подбирают индивидуально, контролируя международное нормализованное отношение (МНО). Показатель МНО должен находиться в пределах 2,5–3,5.",1
58,"ПРИСТУПЫ ОДЫШКИ, ВОЗНИКАЮЩИЕ В ПОЛОЖЕНИИ СИДЯ И ПРОХОДЯЩИЕ В ПОЛОЖЕНИИ ЛЕЖА, МОГУТ НАБЛЮДАТЬСЯ У БОЛЬНЫХ С
А митральным пороком сердца
Б шаровидным тромбом в левом предсердии
В пролапсом митрального клапана
Г миокардитом",Б шаровидным тромбом в левом предсердии ,"Правильный ответ: А. Приступы одышки, возникающие в положении сидя и проходящие в положении лёжа, могут наблюдаться у больных с митральным пороком сердца. Это связано с тем, что при митральном стенозе в положении сидя увеличивается венозный возврат крови к сердцу, что приводит к увеличению давления в лёгочных венах и капиллярах, а также к развитию интерстициального отёка лёгких. Когда больной принимает горизонтальное положение, возврат крови облегчается, давление в лёгочных сосудах снижается, и одышка уменьшается.",-1
59,"ПРИ РАЗВИТИИ ОТЕКА ЛЕГКИХ У БОЛЬНОГО С ОСТРЫМ ИНФАРКТОМ МИОКАРДА НА ФОНЕ НОРМАЛЬНОГО ИЛИ ПОВЫШЕННОГО АД ПОКАЗАНА
А параллельная инфузия допамина и нитроглицерина
Б инфузия добутамина
В инфузия нитратов и внутривенное введение фуросемида	
Г инфузия ингибиторов АПФ",В инфузия нитратов и внутривенное введение фуросемида ,"Правильный ответ: В. При развитии отёка лёгких у больного с острым инфарктом миокарда на фоне нормального или повышенного артериального давления показана инфузия нитратов и внутривенное введение фуросемида.
",1
60,"САМЫМ ЧАСТЫМ СИМПТОМОМ ПРИ ТРОМБОЭМБОЛИИ ЛЕГОЧНОЙ АРТЕРИИ ЯВЛЯЕТСЯ
А повторное кровохарканье
Б боль в левой половине грудной клетки
В эпизод потери сознания
Г внезапная одышка",Г внезапная одышка ,"Правильный ответ: Г — внезапная одышка.

Данный симптом является самым частым при тромбоэмболии лёгочной артерии.
",1
61,"ПРИ НАПРАВЛЕНИИ ГРАЖДАНИНА, ПОСТРАДАВШЕГО В СВЯЗИ С ТЯЖЕЛЫМ НЕСЧАСТНЫМ СЛУЧАЕМ НА ПРОИЗВОДСТВЕ, ПОСЛЕ ОКАЗАНИЯ ЕМУ МЕДИЦИНСКОЙ ПОМОЩИ В СТАЦИОНАРНЫХ УСЛОВИЯХ (УСЛОВИЯХ ДНЕВНОГО СТАЦИОНАРА), АМБУЛАТОРНЫХ УСЛОВИЯХ, НА МЕДИЦИНСКУЮ РЕАБИЛИТАЦИЮ В САНАТОРНО-КУРОРТНУЮ ОРГАНИЗАЦИЮ В ПЕРИОД ВРЕМЕННОЙ НЕТРУДОСПОСОБНОСТИ (ДО НАПРАВЛЕНИЯ НА МСЭ) ЛИСТОК НЕТРУДОСПОСОБНОСТИ ФОРМИРУЕТСЯ МЕДИЦИНСКОЙ ОРГАНИЗАЦИЕЙ, НАПРАВИВШЕЙ ГРАЖДАНИНА НА МЕДИЦИНСКУЮ РЕАБИЛИТАЦИЮ, ПО РЕШЕНИЮ ВРАЧЕБНОЙ КОМИССИИ
А весь период лечения
Б на весь период медицинской реабилитации и проезда к месту лечения и обратно
В первые пять дней лечения
Г первые десять дней лечения

",Б на весь период медицинской реабилитации и проезда к месту лечения и обратно ,"Б на весь период медицинской реабилитации и проезда к месту лечения и обратно.

Этот ответ является правильным, так как листок нетрудоспособности выдаётся гражданину на весь период медицинской реабилитации и проезда к месту лечения и обратно. Это решение принимает врачебная комиссия медицинской организации, которая направила гражданина на медицинскую реабилитацию.",1
62,"ПРИ СТЕНОКАРДИИ УМЕРЕННЫЕ НАРУШЕНИЯ ФУНКЦИИ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ: СТЕНОКАРДИЯ ИЛИ БЕЗБОЛЕВАЯ ИШЕМИЯ МИОКАРДА, ФКIII (50 ВТ) ПРИ НАЛИЧИИ ХСН I, IIА, ИМЕЕТ КОЛИЧЕСТВЕННУЮ ОЦЕНКУ НАРУШЕНИЙ (В ПРОЦЕНТАХ)
А 10-30
Б 40-60
В 70-80
Г 90-100",Б 40-60,"Согласно классификации функциональных классов (ФК) стенокардии, ФК III соответствует умеренным нарушениям функции сердечно-сосудистой системы. Это означает, что пациент способен выполнять физические нагрузки средней тяжести, но при этом у него может возникать стенокардия или безболевая ишемия миокарда.

В данном случае, задание предлагает выбрать количественную оценку нарушений в процентах. Варианты ответа: А (10-30%), Б (40-60%), В (70-80%) и Г (90-100%).

Согласно рекомендациям Всероссийского научного общества кардиологов, для ФК III характерны нарушения в диапазоне от 40 до 60%. Таким образом, правильным ответом будет вариант Б (40-60%).",1
63,"ПРИ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТИ ЗНАЧИТЕЛЬНО ВЫРАЖЕННЫЕ НАРУШЕНИЯ ФУНКЦИИ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ: ХРОНИЧЕСКАЯ СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ III СТАДИИ, ИМЕЕТ КОЛИЧЕСТВЕННУЮ ОЦЕНКУ НАРУШЕНИЙ (В ПРОЦЕНТАХ)
А 10-30
Б 40-60
В 90-100
Г 70-80",В 90-100 ,"Правильный ответ: Г. Согласно классификации Нью-Йоркской ассоциации сердца (NYHA), хроническая сердечная недостаточность III стадии характеризуется выраженными нарушениями функций сердечно-сосудистой системы, при которых физическая активность пациента значительно ограничена. При этом нарушении частота сердечных сокращений и артериальное давление могут быть в пределах нормы или незначительно отклоняться от нормы. Поэтому наиболее подходящим вариантом ответа является вариант Г, который соответствует диапазону нарушений от 70% до 80%.",-1
64,"ОСИПЛОСТЬ ГОЛОСА ВСЛЕДСТВИЕ ДИЛАТАЦИИ ЛЕВОГО ПРЕДСЕРДИЯ, СДАВЛИВАЮЩЕГО ЛЕВЫЙ ВОЗВРАТНЫЙ ГОРТАННЫЙ НЕРВ, ХАРАКТЕРИЗУЕТ СИНДРОМ
А Элерса-Данлоса
Б Ортнера
В Лютембаше
Г Дресслера",Б Ортнера ,"Правильный ответ: В. Синдром Лютембаше характеризуется сочетанием перикардита и пневмонии (воспаления легких).
",-1
65,"КОАРКТАЦИЯ АОРТЫ - ЭТО ВРОЖДЕННЫЙ ПОРОК СЕРДЦА, ХАРАКТЕРИЗУЮЩИЙСЯ
А воспалением внутренней оболочки сосуда
Б сегментарным сужением просвета аорты
В расслоением аорты в антероградном направлении
Г обструкцией выносящего тракта левого желудочка",Б сегментарным сужением просвета аорты ,"Правильный ответ: Б. Коарктация аорты – это врожденный порок сердца, который характеризуется сегментарным сужением просвета аорты. Это состояние приводит к повышению артериального давления в верхней половине тела и снижению его в нижней половине.
",1
66,"ЕДИНСТВЕННЫМ КЛАПАНОМ, НЕ ИМЕЮЩИМ В НОРМЕ РЕГУРГИТАЦИИ, ЯВЛЯЕТСЯ
А трикуспидальный
Б митральный
В аортальный
Г пульмональный",В аортальный ,"В клапанном аппарате сердца существуют следующие виды регургитации (обратного заброса крови): митральная, трикуспидальная, аортальная и лёгочная. При этом варианте нормы единственный клапан, который не имеет регургитации, — это аортальный клапан.
",0
67,"К НЕОБХОДИМЫМ УСЛОВИЯМ РАЗВИТИЯ ЛЕГОЧНОГО СЕРДЦА ОТНОСЯТ
А уменьшение эффективного сосудистого русла легких
Б гиперкапнию и ацидоз
В гипертрофию стенок правого желудочка
Г легочную гипертензию",Г легочную гипертензию,"В данном случае правильным ответом будет Г — легочная гипертензия. Это ключевое условие развития лёгочного сердца.

При лёгочном сердце наблюдается увеличение давления в малом круге кровообращения, что приводит к увеличению нагрузки на правый желудочек. Если давление в лёгочной артерии увеличивается до определённого уровня, то правый желудочек вынужден сокращаться сильнее для того, чтобы протолкнуть кровь через суженные сосуды лёгких. Это может привести к увеличению размеров правого желудочка и развитию лёгочного сердца.",1
68,"ПАЦИЕНТАМ С ХРОНИЧЕСКОЙ СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ И АРТЕРИАЛЬНОЙ ГИПЕРТЕНЗИЕЙ ПРОТИВОПОКАЗАН ПРИЕМ
А блокаторов ангиотензиновых рецепторов
Б иАПФ
В бета-блокаторы
Г агонистов имидазолиновых рецепторов",Г агонистов имидазолиновых рецепторов,"Правильный ответ: А. Пациентам с хронической сердечной недостаточностью и артериальной гипертензией противопоказан прием препаратов группы блокаторов ангиотензиновых рецепторов.

Обоснование: блокаторы ангиотензиновых рецепторов (АРА) являются одними из основных групп препаратов для лечения артериальной гипертензии. Однако у пациентов с хронической сердечной недостаточностью эти препараты могут привести к ухудшению состояния. Это связано с тем, что при сердечной недостаточности происходит нарушение баланса нейрогормональной регуляции, включая систему ренин-ангиотензин-альдостерон. Блокада рецепторов ангиотензина II может усилить эффекты альдостерона, что приводит к нарушению электролитного баланса и ухудшению состояния пациента. Поэтому пациентам с хронической сердечной недостаточностью и артериальной гипертензией следует избегать приема препаратов этой группы.",-1
69,"К БЛОКАТОРАМ РЕЦЕПТОРОВ АНГИОТЕНЗИНА, РАЗРЕШЕННЫМ К ПРИМЕНЕНИЮ У ПАЦИЕНТОВ С СЕРДЕЧНОЙ НЕДОСТАТОЧНОСТЬЮ, ОТНОСЯТ
А телмисартан
Б эпросартан
В кандесартан, валсартан
Г ирбесартан","В кандесартан, валсартан ","В данное задание включены препараты, относящиеся к группе блокаторов рецепторов ангиотензина II (БРА), применяемые для лечения сердечной недостаточности. Эти препараты обладают высокой эффективностью и безопасностью при данной патологии.

Телмисартан (А) и эпросартан (Б) относятся к первому поколению БРА. Они обладают меньшей активностью и могут иметь ограничения в применении у пациентов с сердечной недостаточностью.

Кандесартан (В) и валсартан (В) являются представителями второго поколения БРА. Они имеют более высокую активность и лучшую переносимость, что позволяет их широко использовать в терапии сердечной недостаточности.

Ирбесартан (Г) относится к третьему поколению БРА. Он обладает еще большей активностью и переносимостью, но в данном случае он не упомянут в вопросе, поэтому мы не можем выбрать его как правильный ответ.

Таким образом, правильным ответом будет вариант В - кандесартан и валсартан, так как они наиболее часто используются в клинической практике для лечения сердечной недостаточности среди представленных вариантов.",0
